Question,Option1,Option2,Option3,Option4,CorrectIndex
What is the largest ocean?,Atlantic,Indian,Arctic,Pacific,3
Which element has the chemical symbol 'O'?,Oxygen,Gold,Iron,Helium,0
In what year did the Titanic sink?,1905,1912,1920,1931,1
Which country is known as the Land of the Rising Sun?,China,Japan,Korea,Thailand,1
Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,0
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,2
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,1
What is the currency of Japan?,Yuan,Yen,Won,Baht,1
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,1
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Lion,1
